Bank Code,Bank Full Name,Year,Classification,Number of Employees,Number of Branches,Labour productivity,Network productivity,Employees Ratio,Branches Ratio,Total Deposits,Total Shareholder's Equity,Total Loans,Loan Loss Provisions  ,Non-performing Loans  ,Total Fixed Assets,Liquid Assets,Total Assets,Total Deposits Ratio,Total Loans Ratio,Total Assets Ratio,Interest Expenses,Non-Interest Expenses,Personnel Expenses,Occupancy Expenses,Other Expenses,Total Operating Expenses,Core Cost,Total Cost,Core Cost Ratio,Total Cost Ratio,Interest Incomes,Non-Interest Income,Other Incomes,Total Income,Total Income Ratio,Equity Over Total Assets,Equity Over Total Deposits,Non-performing Loans Ratio,Loan Loss Provisions Ratio,Returns Over Assets,Returns Over Equity,Net Interest Margin,Cost-Income Ratios,Liquid Assets Over Total Assets,Liquid Assets Over Total Deposits,Cumulative Gaps Over Total Assets,Off-balance Sheet Activities,Profits Before Tax,Profits After Tax
EIB,Vietnam Export Import Commercial Joint Stock Bank,2012,JSCB,5800,206,368.73,10381.82,0.03,0.01,70458310,15812205,74922289,606337,987624,3314727,91918994,170156010,0.03,0.03,0.04,12030414,2761961,1119370,191188,986399,2296957,13340972,14792375,0.04,0.04,16931873,950806,-239307,17643372,0.04,9.29,22.44,1.32,0.81,1.26,13.53,5.33,83.84,54.02,130.46,-5.58,5041950,2850997,2138655
EIB,Vietnam Export Import Commercial Joint Stock Bank,2013,JSCB,5362,206,122.85,3197.6,0.03,0.01,79472411,14680317,83354232,710958,1652206,4320661,82160567,169835460,0.02,0.03,0.03,8165884,2420857,944166,183951,992608,2120725,9294001,10586741,0.03,0.03,10902228,812650,-300269,11414609,0.03,8.64,18.47,1.98,0.85,0.39,4.49,3.33,92.75,48.38,103.38,-0.13,6687836,827868,658706
EIB,Vietnam Export Import Commercial Joint Stock Bank,2014,JSCB,5728,210,9.79,267.07,0.03,0.01,101371886,14068297,87146543,1022700,2144371,5237236,68710057,161093836,0.03,0.03,0.03,5853950,2695470,945248,181145,922311,2048704,6980343,8549420,0.02,0.03,8564183,879332,-825299,8618216,0.02,8.73,13.88,2.46,1.17,0.03,0.4,3.94,99.2,42.65,67.78,24.78,8637986,68796,56084
EIB,Vietnam Export Import Commercial Joint Stock Bank,2015,JSCB,6239,210,6.41,190.45,0.03,0.04,98430542,13144721,84759792,869905,1575472,4740627,35349256,124849675,0.02,0.02,0.02,5203494,2876594,1148906,177270,978378,2304554,6529670,8080088,0.02,0.02,8601184,973713,-1433987,8140910,0.02,10.53,13.35,1.86,1.03,0.03,0.3,9.61,99.25,28.31,35.91,57.18,39475997,60822,39994
EIB,Vietnam Export Import Commercial Joint Stock Bank,2016,JSCB,5916,210,433.43,12210.22,0.04,0.1,102351494,13448419,86891327,1066513,2560148,3367929,38542252,128801508,0.02,0.02,0.02,5228494,385117,,,,,5228494,5613611,0.02,0.01,8310573,1037948,-1089066,8259455,0.02,10.44,13.14,2.95,1.23,1.99,19.07,8,67.97,29.92,37.66,58.76,35878691,2645844,2564146
EIB,Vietnam Export Import Commercial Joint Stock Bank,2017,JSCB,6094,209,497.03,14492.33,0.03,0.07,117539696,14251181,101324328,1056028,2298430,3214194,44831032,149369554,0.02,0.02,0.02,6282831,555516,,,,,6282831,6838347,0.02,0.02,8950649,1715921,-604576,10061994,0.02,9.54,12.12,2.27,1.04,2.03,21.25,5.95,67.96,30.01,38.14,53.77,74258359,3223647,3028898
EIB,Vietnam Export Import Commercial Joint Stock Bank,2018,JSCB,6136,209,107.66,3160.72,0.02,0.03,118693869,14883534,104042577,1071367,1921010,3558890,45050596,152652063,0.02,0.02,0.02,6726598,3339237,1507232,137016,1256656,2900904,8370846,10065835,0.02,0.02,9933493,1683016,-723546,10892963,0.02,9.75,12.54,1.85,1.03,0.43,4.44,7.12,92.41,29.51,37.96,57.65,101209083,827128,660590
EIB,Vietnam Export Import Commercial Joint Stock Bank,2019,JSCB,6341,209,136.6,4144.52,0.02,0.02,139278464,15749313,113254792,1072822,1933171,3444021,50839505,167538318,0.02,0.02,0.02,8085390,3491426,1655878,159402,885468,2700748,9900670,11576816,0.02,0.02,11305756,2056600,-690219,12672137,0.02,9.4,11.31,1.71,0.95,0.52,5.5,6.33,91.36,30.35,36.5,70.41,143809983,1095321,866204
EIB,Vietnam Export Import Commercial Joint Stock Bank,2020,JSCB,5561,209,192.44,5120.48,0.02,0.02,133917740,16819490,100767406,1279835,2534455,3348385,56319386,160435177,0.02,0.01,0.01,7505157,2994472,1468998,154355,815331,2438684,9128510,10499629,0.02,0.02,10818893,1687639,-667377,11839155,0.01,10.48,12.56,2.52,1.27,0.67,6.36,5.88,88.69,35.1,42.06,73.01,72267408,1339526,1070181
EIB,Vietnam Export Import Commercial Joint Stock Bank,2021,JSCB,5259,207,183.58,4663.95,0.02,0.02,137373791,17784908,114674630,1366550,2247377,3357843,47799523,165831996,0.02,0.01,0.01,6560189,3050679,1562230,144741,807188,2514159,8267160,9610868,0.02,0.02,10084491,1721567,-990124,10815934,0.01,10.72,12.95,1.96,1.19,0.58,5.43,7.37,88.86,28.82,34.8,78.44,114621394,1205066,965437
EIB,Vietnam Export Import Commercial Joint Stock Bank,2022,JSCB,5317,207,554.03,14230.69,0.02,0.02,148614571,20479900,130505614,1309446,2346660,3271085,51279352,185056051,0.02,0.01,0.01,6578208,4128461,2181150,140056,1154203,3475409,8899414,10706669,0.02,0.02,12170179,2349146,-103590,14415735,0.01,11.07,13.78,1.8,1,1.59,14.38,10.9,74.27,27.71,34.5,75.53,68534056,3709066,2945752
FCB,First Joint Stock Commercial Bank,2008,JSCB,,,,,,,790707,674618,822872,3499,3499,35149,621121,1479142,0,0,0,46256,269,,,,,46256,46525,0,0,149468,4703,-6296,147875,0,45.61,85.32,0.43,0.43,5.49,12.04,16.62,31.46,41.99,78.55,86.15,804524,101350,81219
FCB,First Joint Stock Commercial Bank,2009,JSCB,177,8,535.03,11837.5,0,0,540493,1083869,1140665,4860,4860,47444,452242,1640351,0,0,0,52671,850,,,,,52671,53521,0,0,166215,7075,-11334,161956,0,66.08,200.53,0.43,0.43,5.77,8.74,25.11,33.05,27.57,83.67,86.73,556482,108435,94700
FCB,First Joint Stock Commercial Bank,2010,JSCB,418,16,401.31,10484.19,0,0,2674825,2137880,2724297,20596,20596,108070,4940764,7773131,0,0,0,197964,2132,,,,,197964,200096,0,0,304333,116266,-22338,398261,0,27.5,79.93,0.76,0.76,2.16,7.85,2.15,50.24,63.56,184.71,-16.41,5635251,198165,167747
GAB,Great Asia Commercial Joint Stock Bank,2007,JSCB,,,,,,,1175120,764979,1695080,5284,5284,26754,307478,2029312,0,0,0,70158,467,,,,,70158,70625,0,0,167560,37848,-2869,202539,0,37.7,65.1,0.31,0.31,5.17,13.73,31.68,34.87,15.15,26.17,83.79,1264333,131914,105011
GAB,Great Asia Commercial Joint Stock Bank,2008,JSCB,,,,,,,1802174,729998,1842151,7625,7625,39571,1189470,3071192,0,0,0,211302,70136,36724,3440,29394,69558,251466,281438,0,0,316373,33577,-2341,347609,0,23.77,40.51,0.41,0.41,1.56,6.57,8.83,80.96,38.73,66,47.61,2341194,66171,47927
GAB,Great Asia Commercial Joint Stock Bank,2009,JSCB,,36,,589.06,,0,4766310,1048425,4249434,8495,8495,127207,2701060,7077701,0,0,0,250045,135461,52006,9163,69105,130274,311214,385506,0,0,404982,9511,-870,413623,0,14.81,22,0.2,0.2,0.3,2.02,5.74,93.2,38.16,56.67,57.8,6029276,28117,21206
GAB,Great Asia Commercial Joint Stock Bank,2010,JSCB,,,,,,,4580303,3223135,5833479,47008,47008,136730,5191844,11162053,0,0,0,639671,13837,,,,,639671,653508,0,0,854357,147862,-41957,960262,0,28.88,70.37,0.81,0.81,2.46,8.51,4.14,68.06,46.51,113.35,32.98,7938918,306754,274362
GAB,Great Asia Commercial Joint Stock Bank,2011,JSCB,,,,,,,5114610,3512043,6996248,68656,68656,168584,15037314,22202146,0,0,0.01,1376227,403079,197093,21780,143678,362551,1595100,1779306,0,0,2254367,49480,-23773,2280074,0,15.82,68.67,0.98,0.98,1.68,10.64,5.84,78.04,67.73,294.01,-31.79,18690103,500768,373587
GAB,Great Asia Commercial Joint Stock Bank,2012,JSCB,,,,,,,8551253,3378805,9158872,230739,230739,183507,8567826,17910205,0,0,0,1622056,464781,207462,26998,221400,455860,1856516,2086837,0.01,0.01,2376159,120593,-163515,2333237,0.01,18.87,39.51,2.52,2.52,1.07,5.65,8.8,89.44,47.84,100.19,15.73,14531400,246400,191045
GPB,Global Petro Commercial Joint Stock Bank,2009,JSCB,892,,335.98,,0.01,,8214755,2074456,5986300,-23410,-23410,203543,11084833,17274676,0.01,0,0.01,784433,49544,,,,,784433,833977,0.01,0,922209,284528,-32287,1174450,0.01,12.01,25.25,-0.39,-0.39,1.73,14.45,1.24,71.01,64.17,134.94,-0.2,15200220,340473,299696
GPB,Global Petro Commercial Joint Stock Bank,2010,JSCB,1064,81,449.98,5910.85,0.01,0,15724718,3153588,8851629,-59111,-59111,167011,18751852,27770492,0.01,0,0.01,1748152,54155,,,,,1748152,1802307,0.01,0.01,1846851,542014,-39910,2348955,0.01,11.36,20.05,-0.67,-0.67,1.72,15.18,0.53,76.73,67.52,119.25,-6.11,24616904,546648,478779
HBB,Hanoi Building Commercial Joint Stock Bank,2003,JSCB,,,,,,,1448867,150968,1596105,10977,10977,15603,1074439,2686147,0.01,0.01,0.01,136974,24200,7517,2352,13015,22884,146843,161174,0.01,0.01,174050,18152,-3217,188985,0.01,5.62,10.42,0.69,0.69,0.81,14.42,3.45,85.28,40,74.16,11.12,2535179,27811,21767
HBB,Hanoi Building Commercial Joint Stock Bank,2004,JSCB,,,,,,,2169531,253547,2362641,21809,21809,18797,1346867,3728305,0.01,0.01,0.01,197448,41114,15430,3496,20866,39792,216374,238562,0.01,0.01,275273,35183,-12412,298044,0.01,6.8,11.69,0.92,0.92,1.2,17.62,5.78,80.04,36.13,62.08,22.92,3474758,59482,44673
HBB,Hanoi Building Commercial Joint Stock Bank,2005,JSCB,352,,212.05,,0.01,,3096275,391464,3330218,36537,36537,31777,2162796,5524791,0.01,0.01,0.01,310010,61021,22401,6190,30682,59273,338601,371031,0.01,0.01,407416,80945,-14783,473578,0.01,7.09,12.64,1.1,1.1,1.35,19.07,4.5,78.35,39.15,69.85,17.03,5133327,102547,74640
HBB,Hanoi Building Commercial Joint Stock Bank,2006,JSCB,562,,315.22,,0.01,,4484804,1756381,5983267,67523,67523,47874,5654177,11685318,0.01,0.01,0.01,595144,112030,46213,9719,52899,108831,651076,707174,0.01,0.01,816971,161238,-31025,947184,0.01,15.03,39.16,1.13,1.13,1.52,10.09,3.92,74.66,48.39,126.07,-6.12,9928937,240010,177156
HBB,Hanoi Building Commercial Joint Stock Bank,2007,JSCB,865,30,422.7,12187.73,0.01,0.01,8467382,3179345,9419378,133516,133516,98240,14001066,23518684,0.01,0.01,0.02,1492959,209542,88890,19310,84063,192263,1601159,1702501,0.02,0.02,2115914,132265,-84923,2163256,0.02,13.52,37.55,1.42,1.42,1.55,11.5,4.45,78.7,59.53,165.35,-10.05,20339339,460755,365632
HBB,Hanoi Building Commercial Joint Stock Bank,2008,JSCB,1037,42,339.6,8384.93,0.01,0,11081949,2992761,10515947,240781,341435,183780,12906990,23606717,0.01,0.01,0.01,1780422,268343,106916,26652,125490,259058,1913990,2048765,0.01,0.01,2541248,98254,-110315,2529187,0.01,12.68,27.01,3.25,2.29,1.49,11.77,5.89,81,54.68,116.47,5.66,20613956,480422,352167
HBB,Hanoi Building Commercial Joint Stock Bank,2009,JSCB,1100,51,370.5,7991.12,0.01,0,13648467,3251899,13358406,219839,300047,207895,15674078,29240379,0.01,0.01,0.01,1749422,355879,134173,35138,170585,339896,1918733,2105301,0.01,0.01,2408016,259761,-57626,2610151,0.01,11.12,23.83,2.25,1.65,1.39,12.53,4.2,80.66,53.6,114.84,7.06,25988480,504850,407547
HBB,Hanoi Building Commercial Joint Stock Bank,2010,JSCB,1464,71,325.36,6708.75,0.01,0,16186048,3533452,18684558,384428,447272,233008,19070160,37987726,0.01,0.01,0.01,2310698,447778,156906,38582,191456,386944,2506186,2758476,0.01,0.01,3059322,576538,-275587,3360273,0.01,9.3,21.83,2.39,2.06,1.25,13.48,3.93,82.09,50.2,117.82,-6.16,34454274,601797,476321
HBB,Hanoi Building Commercial Joint Stock Bank,2011,JSCB,1864,81,125.67,2891.96,0.01,0,18566902,4392621,22352405,591047,988679,240866,18692229,41285500,0.01,0.01,0.01,4939280,542832,198204,45400,272249,515853,5182884,5482112,0.01,0.01,5776111,307234,-291101,5792244,0.01,10.64,23.66,4.42,2.64,0.57,5.33,4.48,94.65,45.28,100.68,-7.49,36892879,310132,234249
HDB,Ho Chi Minh City Development Joint Stock Commercial Bank,2004,JSCB,,,,,,,1278079,355062,1374968,11845,11845,33562,886990,2295520,0,0,0,75389,34248,17380,1012,15242,33634,93781,109637,0,0,147512,7031,-10904,143639,0,15.47,27.78,0.86,0.86,0.88,5.68,8.13,76.33,38.64,69.4,31.67,31369,34002,20174
HDB,Ho Chi Minh City Development Joint Stock Commercial Bank,2005,JSCB,402,,146.91,,0.01,,1997698,703632,2677532,19471,19471,55561,1281214,4014307,0,0.01,0.01,143546,50258,30308,2130,16083,48521,175984,193804,0.01,0,259233,27530,-7626,279137,0.01,17.53,35.22,0.73,0.73,1.47,8.39,9.03,69.43,31.92,64.13,16.45,128943,85333,59057
HDB,Ho Chi Minh City Development Joint Stock Commercial Bank,2006,JSCB,668,29,181.09,4171.34,0.01,0.01,3539895,740734,8912366,35333,27907,66454,4843732,13822552,0.01,0.02,0.01,486748,91386,48041,4095,36346,88482,538884,578134,0.01,0.01,697349,67218,-18878,745689,0.01,5.36,20.93,0.31,0.4,0.88,16.33,4.35,77.53,35.04,136.83,-51.18,390658,167555,120969
HDB,Ho Chi Minh City Development Joint Stock Commercial Bank,2007,JSCB,783,33,76.56,1816.48,0.01,0.01,4336883,1672591,6175404,40062,118931,150489,3232024,9557917,0,0.01,0.01,970679,139338,68380,7141,56474,131995,1046200,1110017,0.01,0.01,1084874,107551,-2133,1190292,0.01,17.5,38.57,1.93,0.65,0.63,3.58,3.53,93.26,33.82,74.52,26.09,146722,80275,59944
HDB,Ho Chi Minh City Development Joint Stock Commercial Bank,2008,JSCB,1288,65,150.78,2987.77,0.01,0,9459244,1796165,8230884,63666,90683,250618,10645925,19127427,0.01,0.01,0.01,804461,212799,91848,14279,94332,200459,910588,1017260,0.01,0.01,1039175,270269,-37279,1272165,0.01,9.39,18.99,1.1,0.77,1.02,10.81,2.2,79.96,55.66,112.55,3.33,1432640,254905,194205
HDB,Ho Chi Minh City Development Joint Stock Commercial Bank,2009,JSCB,1752,96,153.77,2806.32,0.01,0,13986213,2357637,11728193,84837,97565,256044,22404990,34389227,0.01,0.01,0.01,1830750,357503,162463,27268,148176,337907,2020481,2188253,0.01,0.01,2353158,207786,-21960,2538984,0.01,6.86,16.86,0.83,0.72,0.78,11.43,2.33,86.19,65.15,160.19,-14.6,842614,350731,269407
HDB,Ho Chi Minh City Development Joint Stock Commercial Bank,2010,JSCB,2162,120,197.27,3554.13,0.01,0,19089860,3547632,13847786,140685,291896,327506,30850129,45025421,0.01,0.01,0.01,4031824,642625,267297,36223,291083,594603,4335344,4674449,0.02,0.02,5340656,-14125,-86107,5240424,0.02,7.88,18.58,2.11,1.02,0.95,12.02,4.24,89.2,68.52,161.6,-24.64,539506,565975,426495
HDB,Ho Chi Minh City Development Joint Stock Commercial Bank,2011,JSCB,2227,122,146.58,2675.66,0.01,0.01,34261860,5393746,21147825,195464,497560,311835,31323171,52782831,0.02,0.01,0.01,4345159,854873,301888,58947,435686,796521,4705994,5200032,0.01,0.01,5195232,730686,-298736,5627182,0.01,10.22,15.74,2.35,0.92,0.62,6.05,2.71,92.41,59.34,91.42,14.21,1307146,427150,326430
HDB,Ho Chi Minh City Development Joint Stock Commercial Bank,2012,JSCB,4953,,43.93,,0.03,,62383934,8599548,44030492,697512,1553086,590246,41605903,86226641,0.02,0.02,0.02,4574838,1052135,353930,63882,592621,1010433,4992650,5626973,0.01,0.01,4884211,1175059,-191841,5867429,0.01,9.97,13.78,3.53,1.58,0.25,2.53,0.74,95.9,48.25,66.69,33.45,1977763,240456,217599
HDB,Ho Chi Minh City Development Joint Stock Commercial Bank,2013,JSCB,6815,209,69.97,2281.71,0.04,0.01,65411576,8874048,41992591,483605,953676,527397,57004615,99524603,0.02,0.01,0.02,4668988,1926938,740441,115665,964029,1820135,5525094,6595926,0.02,0.02,6298131,1376483,-456470,7218144,0.02,8.92,13.57,2.27,1.15,0.48,5.37,2.86,91.38,57.28,87.15,14.15,3204019,622218,476877
HDB,Ho Chi Minh City Development Joint Stock Commercial Bank,2014,JSCB,8464,220,74.45,2864.14,0.05,0.01,74542719,9392415,56558835,705595,897091,805214,49121886,106485935,0.02,0.02,0.02,4677768,2514673,1008069,104258,1297257,2409584,5790095,7192441,0.02,0.02,7922478,993016,-934619,7980875,0.02,8.82,12.6,1.59,1.25,0.59,6.71,6.61,90.12,46.13,65.9,37.01,10838654,788434,630111
HDB,Ho Chi Minh City Development Joint Stock Commercial Bank,2015,JSCB,,,,,,,103299771,9942643,82224372,920397,1198781,1351960,66717940,150294272,0.02,0.02,0.02,6643222,3354512,1467206,116835,1692947,3276988,8227263,9997734,0.03,0.03,11321302,817670,-993605,11145367,0.03,6.62,9.63,1.46,1.12,0.61,9.2,7.01,89.7,44.39,64.59,29.32,,1147633,914498
HDB,Ho Chi Minh City Development Joint Stock Commercial Bank,2016,JSCB,,,,,,,120537469,14759106,104497028,1160699,16523097,1526617,83310626,189334271,0.02,0.02,0.03,8611781,4173423,2003352,104447,1964478,4072277,10719580,12785204,0.03,0.03,14959081,1259665,-1016760,15201986,0.03,7.8,12.24,15.81,1.11,1.03,13.24,7.62,84.1,44,69.12,18.54,,2416782,1954407
HDB,Ho Chi Minh City Development Joint Stock Commercial Bank,2017,JSCB,6069,285,527.52,11233.37,0.03,0.09,128060094,16828140,123131648,1339925,1214429,1615456,91310302,216057406,0.02,0.02,0.03,9151374,4600959,2376730,88799,1975927,4441456,11616903,13752333,0.03,0.03,16797067,1954165,-994271,17756961,0.03,7.79,13.14,0.99,1.09,1.48,19.02,8.37,77.45,42.26,71.3,51.04,,4004628,3201511
HDB,Ho Chi Minh City Development Joint Stock Commercial Bank,2018,JSCB,14528,286,276.73,14057.12,0.05,0.03,126018576,20381116,146324378,1624742,2020501,903561,82249323,229477262,0.02,0.02,0.02,9871512,5312647,2615979,81947,2382566,5080492,12569438,15184159,0.03,0.03,19618067,1873589,-1289083,20202573,0.03,8.88,16.17,1.38,1.11,1.75,19.73,11.85,75.16,35.84,65.27,50.63,,5018414,4020335
HDB,Ho Chi Minh City Development Joint Stock Commercial Bank,2019,JSCB,14312,308,324.7,15087.98,0.05,0.03,174620270,24704048,178323092,1935436,2357348,1059428,139744960,319127480,0.02,0.02,0.03,11239541,6422370,3538343,106560,2527926,6172829,14884444,17661911,0.03,0.03,23137246,2131271,-1788384,23480133,0.03,7.74,14.15,1.32,1.09,1.46,18.81,8.51,75.22,43.79,80.03,44.2,,5818222,4647097
HDB,Ho Chi Minh City Development Joint Stock Commercial Bank,2020,JSCB,15127,428,426.62,15078.27,0.05,0.04,183283117,30790113,203210901,2452068,3360075,1366325,170034345,374611571,0.02,0.03,0.03,12285433,6896701,3789826,143528,2449414,6382768,16218787,19182134,0.03,0.03,26176210,3381401,-2305860,27251751,0.03,8.22,16.8,1.65,1.21,1.72,20.96,8.17,70.39,45.39,92.77,38.55,,8069617,6453499
HDB,Ho Chi Minh City Development Joint Stock Commercial Bank,2021,JSCB,15127,329,426.62,19615.5,0.05,0.03,183283117,30790113,203210901,2452068,3360075,1366325,170034345,374611571,0.02,0.03,0.03,12285433,6896701,3789826,143528,2449414,6382768,16218787,19182134,0.03,0.03,26176210,3381401,-2305860,27251751,0.03,8.22,16.8,1.65,1.21,1.72,20.96,8.17,70.39,45.39,92.77,38.55,62528131,8069617,6453499
HDB,Ho Chi Minh City Development Joint Stock Commercial Bank,2022,JSCB,16326,347,502.43,23638.86,0.06,0.04,215797174,38994886,263856383,3101572,3360073,1315057,151101583,416273023,0.02,0.03,0.03,15311836,9042382,5428661,152737,3049311,8630709,20893234,24354218,0.04,0.04,33323404,4360424,-3068339,34615489,0.04,9.37,18.07,1.27,1.18,1.97,21.04,11.92,70.36,36.3,70.02,50.35,82278514,10261271,8202685
HSBC,HSBC Bank (Vietnam) Limited,2009,FOCB,,12,,163621.42,,0,26353491,3977530,13512645,144771,144771,90929,22910324,36513898,0.02,0.01,0.01,835235,66295,,,,,835235,901530,0.01,0.01,1962485,1344483,-170523,3136445,0.02,10.89,15.09,1.07,1.07,5.38,49.36,4.92,28.74,62.74,86.93,60.07,,2234915,1963457
HSBC,HSBC Bank (Vietnam) Limited,2010,FOCB,,,,,,,26397614,4399808,18305717,185139,185139,124882,29395456,47826055,0.01,0.01,0.01,782411,82542,,,,,782411,864953,0,0,2534074,1291629,-96936,3728767,0.01,9.2,16.67,1.01,1.01,5.23,56.86,5.96,23.2,61.46,111.36,22.59,,2863814,2501880
HSBC,HSBC Bank (Vietnam) Limited,2011,FOCB,,,,,,,39305713,5402948,22842734,226006,226006,140125,30335704,53318563,0.02,0.01,0.01,1211989,122186,,,,,1211989,1334175,0,0,3987214,1376813,-192580,5171447,0.01,10.13,13.75,0.99,0.99,6.25,61.67,9.15,25.8,56.9,77.18,56.36,,3837272,3331954
HSBC,HSBC Bank (Vietnam) Limited,2012,FOCB,,,,,,,44612685,6174051,32042693,402999,402999,111943,33721886,65876522,0.02,0.01,0.01,1450791,171741,,,,,1450791,1622532,0,0,4350951,1293139,-350520,5293570,0.01,9.37,13.84,1.26,1.26,4.84,51.67,8.6,30.65,51.19,75.59,38.43,,3671038,3190178
HSBC,HSBC Bank (Vietnam) Limited,2013,FOCB,,,,,,,50671391,6623643,32331495,734498,734498,75675,34253591,66660761,0.02,0.01,0.01,1201962,169436,,,,,1201962,1371398,0,0,3799608,1356255,-562383,4593480,0.01,9.94,13.07,2.27,2.27,4.22,42.48,7.58,29.86,51.38,67.6,55.53,,3222082,2813698
HSBC,HSBC Bank (Vietnam) Limited,2014,FOCB,,,,,,,65840544,10294737,33686286,896181,896181,41562,50565557,84293405,0.02,0.01,0.02,765486,144783,,,,,765486,910269,0,0,3181587,1199414,-439451,3941550,0.01,12.21,15.64,2.66,2.66,3.32,27.2,4.78,23.09,59.99,76.8,54.93,,3031281,2799781
HSBC,HSBC Bank (Vietnam) Limited,2015,FOCB,,,,,,,57957650,9986222,27656079,571571,571571,31692,44527554,72215325,0.01,0.01,0.01,651235,161009,,,,,651235,812244,0,0,2909156,1412286,-210502,4110940,0.01,13.83,17.23,2.07,2.07,4.16,30.08,5.07,19.76,61.66,76.83,60.81,,3298696,3004320
HSBC,HSBC Bank (Vietnam) Limited,2016,FOCB,,,,,,,56011014,10632673,32507152,567396,567396,29538,38601358,71138048,0.01,0.01,0.01,409531,204851,,,,,409531,614382,0,0,2716224,1606896,-61554,4261566,0.01,14.95,18.98,1.75,1.75,4.62,30.91,5.98,14.42,54.26,68.92,65.64,,3647184,3286546
HSBC,HSBC Bank (Vietnam) Limited,2017,FOCB,,,,,,,74353240,11186927,39904385,570557,570557,57303,47824420,87786108,0.01,0.01,0.01,259651,227733,,,,,259651,487384,0,0,2986754,1699775,-94292,4592237,0.01,12.74,15.05,1.43,1.43,4.16,32.65,5.7,10.61,54.48,64.32,76.92,,4104853,3652011
HSBC,HSBC Bank (Vietnam) Limited,2018,FOCB,,,,,,,74353240,11186927,39333828,,,57303,48394977,87786108,0.01,0.01,0.01,259651,227733,,,,,259651,487384,0,0,2986754,1699775,-94292,4592237,0.01,12.74,15.05,,,4.16,32.65,5.64,10.61,55.13,65.09,77.48,,4104853,3652011
HSBC,HSBC Bank (Vietnam) Limited,2019,FOCB,98,1408,44124.05,3071.13,0,0.14,85072414,12143257,44111305,,,85809,56535530,100732644,0.01,0.01,0.01,305491,300305,,,,,305491,605796,0,0,3779273,1838836,-59889,5558220,0.01,12.05,14.27,,,4.29,35.61,6.14,10.9,56.12,66.46,73.59,,4952424,4324157
HSBC,HSBC Bank (Vietnam) Limited,2020,FOCB,98,1443,22650.33,1538.28,0,0.14,109908707,12878099,47548571,,1111841,102350,77516446,125167367,0.01,0.01,0.01,507548,2604929,289529,21436,1952780,2263745,818513,3112477,0,0,4214682,1836066,-112275,5938473,0.01,10.29,11.72,2.34,,1.77,17.24,4.78,52.41,61.93,70.53,80.56,,2825996,2219732
HSBC,HSBC Bank (Vietnam) Limited,2021,FOCB,98,1485,15984.45,1054.87,0,0.17,111450623,12449360,47428378,,1027957,83853,81532557,129044788,0.01,0.01,0.01,301594,2738077,311201,25282,2105532,2442015,638077,3039671,0,0.01,3254833,1779354,-24692,5009495,0.01,9.65,11.17,2.17,,1.21,12.58,3.62,60.68,63.18,73.16,74.37,,1969824,1566476
HSBC,HSBC Bank (Vietnam) Limited,2022,FOCB,1284,,4981.41,,0,0,175516105,15977157,63128276,613202,216730,112047,135373852,198614175,0.02,0.01,0.01,274057,398535,,,,,274057,672592,0,0,5290420,2720555,-10386,8000589,0.01,8.04,9.1,0.34,0.97,3.22,40.03,3.71,8.41,68.16,77.13,84.75,,7327997,6396125
IVB,Indovina Bank Ltd.,2006,FOCB,,,,,,,3678997,745598,4417614,21312,21312,43859,967096,5428569,0.01,0.01,0.01,171947,3034,,,,,171947,174981,0,0,331992,68502,-12710,387784,0.01,13.73,20.27,0.48,0.48,3.39,24.69,16.55,45.12,17.81,26.29,69.74,217605738,212803,184117
IVB,Indovina Bank Ltd.,2007,FOCB,,,,,,,6258160,1059937,5595347,29738,29738,109301,2993755,8698403,0.01,0.01,0.01,269752,5366,,,,,269752,275118,0,0,526545,70244,-14370,582419,0.01,12.19,16.94,0.53,0.53,3.05,25.02,8.58,47.24,34.42,47.84,68.38,50092807,307301,265150
IVB,Indovina Bank Ltd.,2008,FOCB,,,,,,,6692762,1521361,6434715,46820,46820,111962,2845736,9392413,0.01,0.01,0.01,587271,4801,,,,,587271,592072,0,0,930499,87257,-17452,1000304,0.01,16.2,22.73,0.73,0.73,3.78,23.34,12.06,59.19,30.3,42.52,64.24,24732177,408232,355028
IVB,Indovina Bank Ltd.,2009,FOCB,,,,,,,8310771,2594769,9476484,83543,83543,327481,1574889,11378854,0.01,0.01,0,404466,6499,,,,,404466,410965,0,0,723474,169320,-59945,832849,0,22.8,31.22,0.88,0.88,3.27,14.33,20.26,49.34,13.84,18.95,82.25,66689731,421884,371918
IVB,Indovina Bank Ltd.,2010,FOCB,,,,,,,10346431,3577343,13469418,111809,111809,341576,7086689,20897683,0.01,0.01,0.01,723516,11805,,,,,723516,735321,0,0,1163741,167665,-35804,1295602,0,17.12,34.58,0.83,0.83,2.35,13.73,6.21,56.76,33.91,68.49,56.2,96799545,560281,490993
IVB,Indovina Bank Ltd.,2011,FOCB,,,,,,,10057433,4356039,12457273,194792,194792,358977,11326327,24142577,0,0.01,0.01,1441814,17161,,,,,1441814,1458975,0,0,2179683,230708,-108133,2302258,0.01,18.04,43.31,1.56,1.56,2.92,16.2,6.51,63.37,46.91,112.62,49.3,59854494,843283,705626
IVB,Indovina Bank Ltd.,2012,FOCB,670,27,818.78,20317.78,0,0,12361737,4020436,11554844,213759,380780,340612,11230534,23125990,0,0,0.01,1089184,11579,,,,,1089184,1100763,0,0,1691400,94542,-52217,1733725,0,17.38,32.52,3.3,1.85,2.37,13.64,5.36,63.49,48.56,90.85,34,1075710,632962,548580
